LSOA11CD,Population,Age_0_15,Age_16_64,Age_65_plus
E01031783,1587,365,966,256
E01031785,1459,327,862,270
E01031786,1622,366,962,294
E01031817,1854,396,1173,285
E01031819,3160,1033,1920,207
E01031782,1695,275,838,582
E01031784,2758,584,1688,486
E01031836,1650,334,1055,261
E01031838,1517,224,935,358
E01031840,1724,336,990,398
E01031791,2211,470,1453,288
E01031796,1592,310,1088,194
E01031799,1694,372,1055,267
E01031801,1845,371,1212,262
E01031837,1930,448,1251,231
E01031779,1367,367,840,160
E01031831,1727,294,1026,407
E01031832,1654,230,948,476
E01031833,1677,341,1094,242
E01031834,1590,344,1017,229
E01031790,1933,207,1147,579
E01031807,1856,236,960,660
E01031809,1782,172,1105,505
E01031810,1703,278,1138,287
E01031811,1584,178,966,440
E01031787,1997,232,1401,364
E01031788,2278,427,1482,369
E01031789,2333,303,1588,442
E01031808,1630,152,1127,351
E01031835,2003,253,1426,324
E01031812,1620,142,898,580
E01031813,1753,296,1032,425
E01031814,1670,221,969,480
E01031815,1499,179,728,592
E01031816,1660,386,1005,269
E01031802,1677,166,677,834
E01031803,1492,198,797,497
E01031804,1640,207,802,631
E01031805,1611,145,746,720
E01031806,1687,306,1049,332
